id,question,source,choice1,choice2,choice3,choice4,answer
44,今日よりは、【おとなしく】なり給へりや。,（源氏物語）,1:女らしく,2:穏やかに,3:すてきに,4:大人らしく,4
45,心ばせある少将の尼、左衛門とてある【おとなしき】人、童ばかりぞとどめたりける。,（源氏物語）,1:身分の低い,2:年少の,3:年配の,4:大人しい,3
46,さるべく【おとなしき】人々、何がしかがしといふいみじき源氏の武者たちをこそ、御送りに添へられたりけれ。,（大鏡）,1:思慮分別のある,2:身分の高い,3:関係のある,4:学識の高い,1
47,月かげ【ゆかしく】は、南面に池を掘れ。さてぞ見る。,（梁塵秘抄）,1:見たい,2:隠れる,3:いとおしい,4:沈む,1
48,【ゆかしかり】しかど、神へ参るこそ本意なれと思ひて、山までは見ず。,（徒然草）,1:人に聞きたかったけれど,2:行っても無駄だったけれど,3:行ってみたかったけれど,4:納得いかなかったけれど,3
49,明けぐれの空に、雪の光見えて【おぼつかなし】。,（源氏物語）,1:寂しくなっている,2:際だっている,3:美しく輝いている,4:ぼんやりしている,4
50,【おぼつかなき】もの。十二年の山ごもりの法師の女親。,（枕草子）,1:もどかしい,2:不本意な,3:気がかりな,4:好ましい,3
51,いかでもの越しに対面して、【おぼつかなく】思ひつめたること、少しはるかさむ。,（伊勢物語）,1:苦しんで,2:ぼんやりと,3:人知れず,4:待ち遠しく,4
52,【ありがたき】もの。舅にほめらるる婿。また、姑に思はるる嫁の君。,（枕草子）,1:めったにない,2:期待はずれな,3:優秀な,4:大切な,1
53,「物は、破れたる所ばかりを修理して用ゐる事ぞと、若き人に見ならはせて、心づけんためなり」と申されける、いと【ありがたかり】けり。,（徒然草）,1:反論できないほど当然で,2:笑えるほど滑稽で,3:ありがたいほど大切で,4:めったにないほど立派で,4
54,秋の月は、限りなく【めでたき】ものなり。,（徒然草）,1:奥ゆかしい,2:寂しい,3:すばらしい,4:珍しい,3
55,大社を移して、【めでたく】造れり。,（徒然草）,1:そっくりに,2:立派に,3:きらびやかに,4:特別に,2
56,見すべきことありて、呼びにやりたる人の来ぬ、いと【くちをし】。,（枕草子）,1:悲しい,2:悔しい,3:無礼だ,4:残念だ,4
57,世を捨てて山に入る人山にてもなほ【憂き】時はいづちゆくらむ,（古今和歌集）,1:むなしい,2:つらい,3:悲しい,4:わびしい,2
58,すべてかれに【わびしき】めな見せそ。,（大和物語）,1:悲しい,2:つらい,3:寂しい,4:ひどい,2
59,前栽の草木まで、心のままならず作りなせるは、見る目も苦しく、いと【わびし】。,（徒然草）,1:軽率だ,2:気がかりだ,3:興ざめだ,4:滑稽だ,3
60,梁塵秘抄の郢曲の言葉こそ、また、【あはれなる】ことは多かめれ。,（徒然草）,1:情けないと感じる,2:いつもと同じと思える,3:しみじみと心打たれる,4:趣深く新鮮な,3
61,滝の音水の声、【あはれに】聞こゆる所なり。,（宇津保物語）,1:趣深く,2:悲しく,3:はっきりと,4:ゆったりと,1
62,【あはれなる】人を見つるかな。,（源氏物語）,1:かわいらしい,2:ふさわしい,3:気品がある,4:みすぼらしい,1
63,わづかに二つの矢、師の前にて一つを【おろかに】せんと思はんや。,（徒然草）,1:大切に,2:おろそかに,3:無関係に,4:愚かに,2
64,口惜しといふも【おろかなり】。,（増鏡）,1:言葉では言い尽くせない,2:のもばかばかしい,3:言葉を口にしてはいけない,4:のも当然である,1
65,おそろしなんども【おろかなり】。,（平家物語）,1:言葉は聞きたくない,2:のは愚かなことだ,3:のは臆病者だ,4:言葉では言い尽くせない,4
66,狩りは【ねんごろに】もせで、酒をのみ飲みつつ、やまと歌にかかれりけり。,（伊勢物語）,1:熱心に,2:すぐに,3:ほどほどに,4:上手に,1
67,それ、人の友とあるものは、富めるをたふとみ、【ねんごろなる】を先とす。,（方丈記）,1:親しい,2:権力のある,3:尊敬できる,4:美しい,1
68,【つれづれなる】時は、これを友として遊行す。,（方丈記）,1:することもなくて退屈な,2:ものに熱中している,3:もの寂しい,4:心が空虚な,1
69,【つれづれに】思ひつづくるも、うち返しいとあぢきなし。,（源氏物語）,1:とりとめもなく,2:しんみりともの寂しく,3:大変ばかばかしく,4:暇がないときに,2
70,少しの地をも、【いたづらに】おかんことは、益なきことなり。食ふ物・薬種などを植ゑおくべし。,（徒然草）,1:大切に,2:例外に,3:余分に,4:むだに,4
71,船も出ださで【いたづらなれ】ば、ある人の詠める。,（土佐日記）,1:退屈でもの寂しい,2:行くあてもない,3:手持ちぶさたで暇な,4:落ち込んで憂鬱な,3
72,【年ごろ】思ひつること、果たし侍りぬ。,（徒然草）,1:この年になって,2:長年,3:今年,4:最近,2
73,文太といひて、【年ごろ】の者あり。,（文正草子）,1:長年,2:最近,3:成人して,4:少し前から,1
74,その人、【かたち】よりは心なむまさりたりける。,（伊勢物語）,1:容貌,2:行動,3:以前,4:評判,1
75,御灯明の【影】ほのかに透きて見ゆ。,（源氏物語）,1:形,2:光,3:陰影,4:火,2
76,鏡には色・かたちなきゆゑに、よろづの【影】来たりて映る。,（徒然草）,1:心,2:姿,3:光,4:人,2
77,つひに【本意】のごとくあひにけり。,（伊勢物語）,1:二人の約束,2:慎重な計画,3:親の期待,4:かねてからの願い,4
78,暮るるまで御【物語】したまひて、大宮も渡りたまひぬ。,（宇津保物語）,1:話,2:祈り,3:遊び,4:物語,1
79,この源氏の【物語】、一の巻よりしてみな見せ給へ。,（更級日記）,1:物語,2:評判,3:あらすじ,4:人生,1
80,その人の御もとにとて、【文】書きてつく。,（伊勢物語）,1:漢詩,2:物語,3:文章,4:手紙,4
81,大江山いく野の道の遠ければまだ【ふみ】も見ず天の橋立,（十訓抄）,1:心遣い,2:使者,3:贈り物,4:手紙,4
82,世の中に長恨歌といふ【文】を、物語にかきてある所あんなり。,（更級日記）,1:伝説,2:手紙,3:書簡,4:漢詩,4
83,【ほど】経にければ便なし。,（蜻蛉日記）,1:見通し,2:時,3:うわさ,4:一日,2
84,足もとへふと寄り来て、やがてかきつくままに、首の【ほど】を食はんとす。,（徒然草）,1:裏側,2:全体,3:急所,4:あたり,4
85,同じ【ほど】、それより下の更衣たちは、ましてやすからず。,（源氏物語）,1:身分,2:年齢,3:程度,4:服装,1
86,（光源氏ガ）出で給ふ【ほど】を、人々のぞきて見たてまつる。,（源氏物語）,1:機会,2:方向,3:様子,4:瞬間,3
87,よろづのことよりも【情け】あるこそ、男はさらなり、女もめでたくおぼゆれ。,（枕草子）,1:思いやり,2:遊び心,3:人望,4:縁故,1
88,男女の【情け】も、ひとへに逢ひ見るをばいふものかは。,（徒然草）,1:叙情,2:情熱,3:情愛,4:人情,3
89,【なさけ】ある人にて、瓶に花をさせり。,（伊勢物語）,1:情趣を解する心,2:人目を気にする心,3:思いやり,4:情愛,1
90,日ごろの【ちぎり】を変ぜず、一所にて死ににけるこそ無慚なれ。,（平家物語）,1:方針,2:約束,3:道,4:言葉,2
91,前の世にも【御契り】や深かりけむ、世になく清らなる玉の男皇子さへ生まれ給ひぬ。,（源氏物語）,1:身分,2:宿縁,3:関係,4:情愛,2
92,月に二度ばかりの【御契り】なめり。,（源氏物語）,1:因縁,2:逢瀬,3:契約,4:間隔,2
93,今日、風、雲の【気色】はなはだ悪し。,（土佐日記）,1:動き,2:流れ,3:機嫌,4:様子,4
94,せちにもの思へる【気色】なり。,（竹取物語）,1:ばかり,2:性格,3:その時,4:様子,4
95,かぢとり、【気色】悪しからず。,（土佐日記）,1:身分,2:機嫌,3:容貌,4:性格,2
96,いかなるたよりして、【気色】見せむ。,（平中物語）,1:現実,2:思い,3:苦情,4:評判,2
97,月明ければ、【いと】よくありさま見ゆ。,（土佐日記）,1:とても,2:しだいに,3:それでも,4:なるほど,1
98,つた・くず・朝顔、いづれも【いと】高からず、ささやかなる墻に、繁からぬ、よし。,（徒然草）,1:たいして,2:たいそう,3:そのように,4:まったく,1
99,大門のかたに、馬のいななく声して、人の【あまた】あるけはひしたり。,（蜻蛉日記）,1:少しずつ,2:数人,3:たくさん,4:急いで,3
100,【げに】ただ人にはあらざりけり。,（竹取物語）,1:ああ,2:やはり,3:けれども,4:なるほど,4
101,和歌こそ、【なほ】をかしきものなれ。,（徒然草）,1:とても,2:本当に,3:やはり,4:思った以上に,3
102,明けぬれば暮るるものとは知りながら【なほ】恨めしき朝ぼらけかな,（後拾遺和歌集）,1:そうはいっても,2:それゆえに,3:やはり,4:なにより,3
103,薬も食はず。【やがて】起きもあがらで、病み臥せり。,（竹取物語）,1:やはり,2:そのまま,3:じっと,4:どうしても,2
104,門をほとほととたためば、【やがて】弾きやみ給ひぬ。,（平家物語）,1:一瞬,2:その後,3:すぐに,4:しだいに,3
105,かくて、翁【やうやう】豊かになりゆく。,（竹取物語）,1:一瞬,2:一気に,3:だんだん,4:少しだけ,3
106,女、いと悲しくて、しりに立ちて追ひ行けど、【え追ひつかで】、清水のある所に伏しにけり。,（伊勢物語）,1:追いつけそうもなく,2:追いつくことが大変で,3:追いつくことができず,4:追いつくことができても,3
107,や、【な起こしたてまつりそ】。幼き人は寝入り給ひにけり。,（宇治拾遺物語）,1:お起こし申し上げるな,2:お起こし申し上げるぞ,3:お起こし申し上げるのか,4:お起こし申し上げるのだ,1
108,身も亡びなむ、かく【なせそ】。,（伊勢物語）,1:するな,2:するのだ,3:するのか,4:するなら,1
109,【さらに】まだ見ぬ骨のさまなり。,（枕草子）,1:まったくまだ見たこともない,2:今までまだ見たこともない,3:それ以上はまだ見たこともない,4:きちんとまだ見たこともない,1
110,【さらに】人に交はることなし。,（徒然草）,1:それほど～ない,2:ほとんど～ない,3:まったく～ない,4:あまり～ない,3
111,【いかで】さることは知りしぞ。,（枕草子）,1:どうして,2:もう,3:本当に,4:いつから,1
112,忠見、名歌詠み出だしたりと思ひて、兼盛も【いかで】これほどの歌詠むべきとぞ思ひける。,（沙石集）,1:だれか,2:どうして,3:なんとかして,4:いつかは,2
113,命を奪はん事、【いかで】かいたましからざらん。,（徒然草）,1:どうして,2:少し,3:いつになく,4:それほど,1
114,【いかで】このかぐや姫を得てしがな、見てしがな。,（竹取物語）,1:なぜか,2:早く,3:どうにかして,4:いつかは,3
115,春は藤波を見る。紫雲のごとくして、西方に【にほふ】。,（方丈記）,1:美しく照り映える,2:背を向けている,3:ぼんやり浮かんでいる,4:たたずんでいる,1
116,例よりはひきつくろひて書きて、【うつろひ】たる菊にさしたり。,（蜻蛉日記）,1:気に入った,2:色が変わった,3:ふと見つけた,4:心がこもった,2
117,おのづから御心【移ろひ】て、こよなう思し慰むやうなるも、あはれなるわざなりけり。,（源氏物語）,1:定まって,2:移って,3:片寄って,4:表れて,2
118,男、「みやこへ【い】なむ」といふ。,（伊勢物語）,1:とどまる,2:急ぐ,3:帰る,4:行く,4
119,あはれ今年の秋も【いぬ】めり,（千載和歌集）,1:過ごす,2:過ぎ去る,3:感じる,4:やって来る,2
120,とりどりに物の音ども調べあはせて【遊び】給ふ、いとおもしろし。,（源氏物語）,1:言い騒ぎ,2:趣を変え,3:管絃を楽しみ,4:ふざけ合い,3
121,良秀がよぢり不動とて、今に人々【めで】合へり。,（宇治拾遺物語）,1:同情し,2:ほめ,3:感嘆し,4:けなし,3
122,人々の、花、蝶やと【めづる】こそ、はかなくあやしけれ。,（堤中納言物語）,1:愛する,2:持ち上げる,3:ほめる,4:心を移す,1
123,【ならはぬ】鄙の住まひこそ、かねて思ふも悲しけれ。,（平家物語）,1:好まない,2:知らない,3:感じない,4:慣れない,4
124,ここは、かく久しく遊びきこえて、【慣らひ】たてまつれり。,（竹取物語）,1:近づき,2:感謝し,3:親しみ,4:従い,3
125,親たち【かしづき】給ふこと限りなし。,（堤中納言物語）,1:近くにおき,2:粗略に扱い,3:心から愛し,4:大切に養育し,4
126,この猫を北面にも出ださず、思ひ【かしづく】。,（更級日記）,1:大切に世話をする,2:ほめたてる,3:見届ける,4:懐かしむ,1
127,初心の人、二つの矢を持つことなかれ。後の矢を【頼み】て、初めの矢になほざりの心あり。,（徒然草）,1:温存して,2:あてにして,3:気にして,4:大事にして,2
128,我を【頼め】て来ぬ男、角三つ生ひたる鬼になれ。,（梁塵秘抄）,1:愛して,2:ひとりにさせて,3:信じて,4:あてにさせて,4
129,下簾の狭間の開きたるより、この男【まもれ】ば、わが妻に似たり。,（大和物語）,1:調べる,2:眺める,3:見つめる,4:訪ねる,3
130,沖より舟どものうたひののしりて漕ぎ行くなども【聞こゆ】。,（源氏物語）,1:知っている,2:見える,3:うわさに聞く,4:聞こえる,4
131,これ、昔、名高く【聞こえ】たる所なり。,（土佐日記）,1:人が集まった,2:悪評で知られた,3:世間に知られた,4:人がうわさした,3
132,【聞こえぬ】ことども言ひつつよろめきたる、いとかはゆし。,（徒然草）,1:理解できない,2:納得できない,3:説明できない,4:表現できない,1
133,せちによばひければあひにけり。その朝に文もおこせず。夜まで【音】もせず。,（大和物語）,1:したためない,2:読まない,3:用意しない,4:よこさない,4
134,大傘一つ【まうけ】よ。,（落窪物語）,1:準備しろ,2:処分しろ,3:修理しろ,4:工夫しろ,1
135,子三人呼ひて語りけり。二人の子は、情けなく【いらへ】てやみぬ。,（伊勢物語）,1:話して,2:行って,3:答えて,4:言って,3
136,今日は、宮の御方に昼【渡り】給ふ。,（源氏物語）,1:届け,2:伝え,3:行き,4:とどまり,3
137,おぼつかなく思し【わたる】ことの筋を聞こゆれば、いと奥ゆかしけれど、げに人目もしげし。,（源氏物語）,1:少し,2:大いに,3:いつか,4:ずっと,4
138,霧いと深くたち【わたれ】り。,（源氏物語）,1:自然に立ちこめている,2:一面に立ちこめている,3:近くに立ちこめている,4:遠くに立ちこめている,2
139,この宮は腹々に御子の宮たちあまた【わたら】せ給ひけり。,（平家物語）,1:向かわれ,2:生まれなさっ,3:いらっしゃっ,4:通われ,3
140,我をばいづちへ【具し】て行かむとするぞ。,（平家物語）,1:置いて,2:連れて,3:乗せて,4:隠して,2
141,我は一門に【具し】て西国の方へ落ちゆくなり。,（平家物語）,1:協力し,2:抵抗し,3:先だっ,4:つき従っ,4
142,不死の薬壺に文【具し】て、御使ひに賜はす。,（竹取物語）,1:入れ,2:書い,3:戻し,4:添え,4
143,心ざし深かりける人、行き【とぶらひ】けるを、正月の十日ばかりのほどに、ほかに隠れにけり。,（伊勢物語）,1:捜した,2:訪れた,3:確かめた,4:帰った,2
144,大弐の乳母のいたくわづらひて尼になりにける、【とぶらは】むとて、五条なる家訪ねておはしたり。,（源氏物語）,1:一目見よう,2:治そう,3:見舞おう,4:確認しよう,3
145,かの御法事などし給ふにもいかめしう【とぶらひ】きこえ給へり。,（源氏物語）,1:弔問し,2:敬意を表し,3:あいさつし,4:取り扱い,1
146,維盛が後生をも【とぶらへ】かし。,（平家物語）,1:供養してくれ,2:手を合わせてくれ,3:殺してくれ,4:忘れないでくれ,1
147,日ごろ【ものし】つる人、今日ぞ帰りぬる。,（蜻蛉日記）,1:話した,2:祈った,3:参った,4:いた,4
148,馬にて【ものせ】む。,（源氏物語）,1:訪ねよう,2:送ろう,3:行こう,4:走ろう,3
149,中将はいづこより【ものし】つるぞ。,（源氏物語）,1:いらっしゃったのか,2:訪ねたのか,3:来たのか,4:帰ったのか,3
150,魚など【ものせ】よ。,（蜻蛉日記）,1:逃がせよ,2:手にせよ,3:食べよ,4:つかまえよ,3
151,まづ御文を【ものせ】させ給へ。,（蜻蛉日記）,1:忘れ,2:許し,3:隠し,4:書き,4
152,梅の香をかしきを見出して【ものし】たまふ。,（源氏物語）,1:いらっしゃる,2:座っている,3:住んでいる,4:物思いにふけっている,1
153,いと恐ろしと思して【わななき】給ふ。,（源氏物語）,1:見捨て,2:ふるえ,3:隠れ,4:逃げ,2
154,何といふにか、唇【はたらく】。,（宇治拾遺物語）,1:痛む,2:動く,3:表す,4:見える,2
155,寛大にして極まらざる時は、喜怒これにさはらずして、物のために【わづらは】ず。,（徒然草）,1:思い悩まない,2:勘違いしない,3:興奮しない,4:変節しない,1
156,漕ぎ上るに、川の水干て、【悩みわづらふ】。,（土佐日記）,1:立ち止まる,2:慌てる,3:苦労する,4:あきらめる,3
157,勢多の橋みな崩れて、【渡りわづらふ】。,（更級日記）,1:渡る気がしない,2:渡るのに困る,3:渡るすべがない,4:渡るのをあきらめる,2
158,心地【惑ひ】にけり。,（伊勢物語）,1:移っ,2:高揚し,3:乱れ,4:落ち着い,3
159,宮の御前、母北の方、帥殿、一つに手を取りかはして【惑は】せたまふ。,（栄花物語）,1:思い悩み,2:あきらめ,3:とまどい,4:途方に暮れ,4
160,風の吹きまどひたるさま、恐ろしげなること、命かぎりつと思ひ【まどは】る。,（更級日記）,1:ときどき吹いている,2:休まず吹いている,3:静かに吹いている,4:ひどく吹いている,4
161,大将も物【かづき】、忠岑も禄賜はりなどしけり。,（大和物語）,1:担ぎ,2:奪い,3:与え,4:いただき,4
162,御衣ひき【かづき】て臥し給へり。,（源氏物語）,1:渡して,2:ちぎって,3:広げて,4:かぶって,4
163,郎等までに物【かづけ】たり。,（土佐日記）,1:与え,2:いただい,3:片づけ,4:預け,1
164,翁を、いとほし、かなしと思しつることも【失せ】ぬ。,（竹取物語）,1:忘れ,2:隠れ,3:やめ,4:消え,4
165,その人、ほどなく【失せ】にけりと聞き侍りし。,（徒然草）,1:亡くなった,2:失踪した,3:横になった,4:病気になった,1
166,持仏据ゑたてまつりて【行ふ】尼なりけり。,（源氏物語）,1:講義する,2:指図する,3:参詣する,4:仏道の修行をする,4
167,その沢にかきつばたいと【おもしろく】咲きたり。,（伊勢物語）,1:すばらしく,2:かわいらしく,3:しんみりと,4:滑稽に,1
168,神楽こそ、なまめかしく、【おもしろけ】れ。,（徒然草）,1:すぐれている,2:大切だ,3:興趣がある,4:遊び心がある,3
169,墨染めの御姿【あらまほしう】清らなるも、うらやましく見たてまつり給ふ。,（源氏物語）,1:上品で,2:質素で,3:きらびやかに,4:理想的に,4
170,この山に籠りゐて後、【やむごとなき】人のかくれ給へるもあまた聞こゆ。,（方丈記）,1:高貴な,2:有名な,3:立派な,4:賢明な,1
171,身の才【やむごとなく】して、公につかまつりけるほどに、道心をおこして出家せるなり。,（今昔物語集）,1:この上なく,2:わずらわしく,3:あまりなく,4:追いつかなく,1
172,【ゆゆしき】身に侍れば、（若宮ガ）かくおはしますも、いまいましう、かたじけなくなむ。,（源氏物語）,1:みじめな,2:不幸な,3:不吉な,4:寂しい,3
173,かたちなむまことにいとうつくしう、【ゆゆしき】までもなし給ひける。,（源氏物語）,1:今までになく美しく,2:あきれるほど美しく,3:不吉なほど美しく,4:あでやかに美しく,3
174,ただ人も、舎人など賜はるきはは、【ゆゆし】と見ゆ。,（徒然草）,1:すばらしい,2:珍しい,3:恐ろしい,4:悪くはない,1
175,おのおの拝みて、【ゆゆしく】信おこしたり。,（徒然草）,1:はなはだしく,2:ふさわしく,3:当然に,4:突然に,1
176,帝の御位は、いとも【かしこし】。,（徒然草）,1:すばらしい,2:おそれ多い,3:重大だ,4:高貴だ,2
177,寺をこそ、いと【かしこく】造りたなれ。,（源氏物語）,1:趣深く,2:こじんまりと,3:大げさに,4:すばらしく,4
178,今日しも【かしこく】参り候ひにけり。,（宇治拾遺物語）,1:仰々しく,2:しかたなく,3:理由があって,4:好都合に,4
179,風吹き、波荒ければ、船出ださず。これかれ、【かしこく】嘆く。,（土佐日記）,1:思わず,2:非常に,3:こっそり,4:静かに,2
180,その日の、髪上げ【うるはしき】姿、唐絵ををかしげに描きたるやうなり。,（紫式部日記）,1:当世風な,2:端正な,3:かわいらしい,4:頼もしい,2
181,昔、男、いと【うるはしき】友ありけり。,（伊勢物語）,1:似つかわしい,2:親しい,3:喜ばしい,4:好ましい,2
182,鳥辺山谷に煙の燃え立たば【はかなく】見えし我と知らなむ,（拾遺和歌集）,1:死にそうに,2:情けなく,3:頼りなく,4:悲しげに,3
183,梨の花、世にすさまじきものにして、近うもてなさず、【はかなき】文付けなどだにせず。,（枕草子）,1:すてきな,2:質素な,3:ちょっとした,4:優雅な,3
184,取り立てて、【はかばかしき】後見しなければ、事ある時は、なほ拠りどころなく心細げなり。,（源氏物語）,1:しっかりした,2:大げさな,3:魅力のある,4:縁のある,1
185,【はかばかしく】も身の上をえ知り侍らず。,（宇津保物語）,1:少しも,2:これ以上,3:特別に,4:はっきり,4
186,いみじう【やさしかり】ける人の妻に成りにけり。,（古本説話集）,1:裕福だった,2:優雅だった,3:心やさしかった,4:有名だった,2
187,【やさしう】申したるものかな。,（平家物語）,1:けなげに,2:穏やかに,3:簡単に,4:遠慮がちに,1
188,いと【いはけなき】御ありさまなれば、乳母たち近くさぶらひけり。,（源氏物語）,1:みすぼらしい,2:弱々しい,3:心細い,4:幼い,4
189,すべて、いとも知らぬ道の物語したる、【かたはらいたく】聞きにくし。,（徒然草）,1:難しく,2:おもしろくなく,3:心細く,4:見苦しく,4
190,簀子は【かたはらいたけ】れば、南の廂に入れたてまつる。,（源氏物語）,1:見苦しい,2:寒々しい,3:気の毒な,4:不気味な,3
191,うちとけて【かたはらいたし】と思されむこそゆかしけれ。,（源氏物語）,1:恥ずかしい,2:やりきれない,3:うれしい,4:楽しい,1
192,あな【かたはらいた】の法師や。,（宇治拾遺物語）,1:尊大な,2:軽率な,3:ばかばかしい,4:みすぼらしい,3
193,心地の悪しく、ものの恐ろしきをり、夜の明くるほど、いと【心もとなし】。,（枕草子）,1:もの寂しい,2:不快だ,3:恐ろしい,4:待ち遠しい,4
194,【心もとなき】日数重なるままに、白河の関にかかりて、旅心定まりぬ。,（奥の細道）,1:不愉快な,2:不安な,3:しかたがない,4:とりとめのない,2
195,花びらの端に、をかしき匂ひこそ、【心もとなう】つきためれ。,（枕草子）,1:不安な,2:おびただしい,3:はっきりしない,4:意外な,3
